product_name,product_category,product_size,region,country,city,venue,year,year_month,month,product_price,qty_sold_monthly,monthly_sales,avg_product_sales_by_month_of_the_year
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-02,2,6.99,14,97.86,110.72
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-03,3,6.99,23,160.77,113.01
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-04,4,6.99,15,104.85,133.09
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-05,5,6.99,18,125.82,133.37
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-06,6,6.99,25,174.75,111.56
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-07,7,6.99,21,146.79,123.58
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-08,8,6.99,15,104.85,115.75
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-09,9,6.99,12,83.88,112.68
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-10,10,6.99,5,34.95,105.41
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-11,11,6.99,19,132.81,125.82
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-12,12,6.99,17,118.83,121.35
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2025,2025-01,1,6.99,29,202.71,132.53
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2025,2025-02,2,6.99,13,90.87,110.72
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2025,2025-03,3,6.99,12,83.88,113.01
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-03,3,6.99,6,41.94,113.01
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-04,4,6.99,11,76.89,133.09
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-05,5,6.99,16,111.84,133.37
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-06,6,6.99,28,195.72,111.56
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-07,7,6.99,19,132.81,123.58
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-08,8,6.99,16,111.84,115.75
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-09,9,6.99,14,97.86,112.68
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-10,10,6.99,21,146.79,105.41
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-11,11,6.99,30,209.7,125.82
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2020,2020-12,12,6.99,8,55.92,121.35
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-01,1,6.99,16,111.84,132.53
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-02,2,6.99,4,27.96,110.72
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-03,3,6.99,8,55.92,113.01
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-04,4,6.99,11,76.89,133.09
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-05,5,6.99,43,300.57,133.37
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-06,6,6.99,10,69.9,111.56
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-07,7,6.99,11,76.89,123.58
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-08,8,6.99,15,104.85,115.75
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-09,9,6.99,10,69.9,112.68
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-10,10,6.99,25,174.75,105.41
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-11,11,6.99,14,97.86,125.82
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2021,2021-12,12,6.99,19,132.81,121.35
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-01,1,6.99,19,132.81,132.53
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-02,2,6.99,12,83.88,110.72
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-03,3,6.99,21,146.79,113.01
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-04,4,6.99,12,83.88,133.09
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-05,5,6.99,25,174.75,133.37
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-06,6,6.99,20,139.8,111.56
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-07,7,6.99,12,83.88,123.58
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-08,8,6.99,26,181.74,115.75
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-09,9,6.99,32,223.68,112.68
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-10,10,6.99,21,146.79,105.41
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-11,11,6.99,20,139.8,125.82
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2022,2022-12,12,6.99,25,174.75,121.35
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-01,1,6.99,27,188.73,132.53
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-02,2,6.99,13,90.87,110.72
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-03,3,6.99,28,195.72,113.01
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-04,4,6.99,23,160.77,133.09
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-05,5,6.99,20,139.8,133.37
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-06,6,6.99,5,34.95,111.56
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-07,7,6.99,12,83.88,123.58
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-08,8,6.99,6,41.94,115.75
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-09,9,6.99,12,83.88,112.68
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-10,10,6.99,21,146.79,105.41
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-11,11,6.99,12,83.88,125.82
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2023,2023-12,12,6.99,18,125.82,121.35
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-01,1,6.99,9,62.91,132.53
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-02,2,6.99,25,174.75,110.72
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-03,3,6.99,24,167.76,113.01
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-04,4,6.99,17,118.83,133.09
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-05,5,6.99,6,41.94,133.37
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-06,6,6.99,29,202.71,111.56
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-07,7,6.99,14,97.86,123.58
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-08,8,6.99,10,69.9,115.75
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-09,9,6.99,20,139.8,112.68
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-10,10,6.99,10,69.9,105.41
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-11,11,6.99,19,132.81,125.82
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2024,2024-12,12,6.99,8,55.92,121.35
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2025,2025-01,1,6.99,6,41.94,132.53
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2025,2025-02,2,6.99,37,258.63,110.72
butter croissant,food,one size,LATAM,Peru,Lima,Lima,2025,2025-03,3,6.99,9,62.91,113.01
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-03,3,6.99,14,97.86,113.01
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-04,4,6.99,27,188.73,133.09
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-05,5,6.99,6,41.94,133.37
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-06,6,6.99,15,104.85,111.56
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-07,7,6.99,10,69.9,123.58
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-08,8,6.99,15,104.85,115.75
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-09,9,6.99,6,41.94,112.68
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-10,10,6.99,8,55.92,105.41
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-11,11,6.99,28,195.72,125.82
butter croissant,food,one size,North America,USA,Miami,Miami,2020,2020-12,12,6.99,7,48.93,121.35
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-01,1,6.99,8,55.92,132.53
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-02,2,6.99,18,125.82,110.72
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-03,3,6.99,38,265.62,113.01
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-04,4,6.99,31,216.69,133.09
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-05,5,6.99,15,104.85,133.37
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-06,6,6.99,17,118.83,111.56
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-07,7,6.99,15,104.85,123.58
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-08,8,6.99,18,125.82,115.75
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-09,9,6.99,11,76.89,112.68
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-10,10,6.99,6,41.94,105.41
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-11,11,6.99,15,104.85,125.82
butter croissant,food,one size,North America,USA,Miami,Miami,2021,2021-12,12,6.99,15,104.85,121.35
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-01,1,6.99,7,48.93,132.53
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-02,2,6.99,7,48.93,110.72
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-03,3,6.99,21,146.79,113.01
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-04,4,6.99,27,188.73,133.09
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-05,5,6.99,20,139.8,133.37
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-06,6,6.99,20,139.8,111.56
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-07,7,6.99,11,76.89,123.58
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-08,8,6.99,34,237.66,115.75
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-09,9,6.99,29,202.71,112.68
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-10,10,6.99,11,76.89,105.41
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-11,11,6.99,27,188.73,125.82
butter croissant,food,one size,North America,USA,Miami,Miami,2022,2022-12,12,6.99,33,230.67,121.35
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-01,1,6.99,20,139.8,132.53
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-02,2,6.99,16,111.84,110.72
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-03,3,6.99,18,125.82,113.01
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-04,4,6.99,20,139.8,133.09
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-05,5,6.99,13,90.87,133.37
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-06,6,6.99,9,62.91,111.56
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-07,7,6.99,31,216.69,123.58
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-08,8,6.99,18,125.82,115.75
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-09,9,6.99,17,118.83,112.68
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-10,10,6.99,16,111.84,105.41
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-11,11,6.99,4,27.96,125.82
butter croissant,food,one size,North America,USA,Miami,Miami,2023,2023-12,12,6.99,28,195.72,121.35
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-01,1,6.99,8,55.92,132.53
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-02,2,6.99,15,104.85,110.72
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-03,3,6.99,23,160.77,113.01
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-04,4,6.99,30,209.7,133.09
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-05,5,6.99,25,174.75,133.37
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-06,6,6.99,6,41.94,111.56
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-07,7,6.99,23,160.77,123.58
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-08,8,6.99,12,83.88,115.75
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-09,9,6.99,15,104.85,112.68
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-10,10,6.99,8,55.92,105.41
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-11,11,6.99,12,83.88,125.82
butter croissant,food,one size,North America,USA,Miami,Miami,2024,2024-12,12,6.99,16,111.84,121.35
butter croissant,food,one size,North America,USA,Miami,Miami,2025,2025-01,1,6.99,24,167.76,132.53
butter croissant,food,one size,North America,USA,Miami,Miami,2025,2025-02,2,6.99,6,41.94,110.72
butter croissant,food,one size,North America,USA,Miami,Miami,2025,2025-03,3,6.99,3,20.97,113.01
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-03,3,6.99,34,237.66,113.01
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-04,4,6.99,12,83.88,133.09
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-05,5,6.99,14,97.86,133.37
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-06,6,6.99,17,118.83,111.56
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-07,7,6.99,18,125.82,123.58
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-08,8,6.99,17,118.83,115.75
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-09,9,6.99,26,181.74,112.68
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-10,10,6.99,22,153.78,105.41
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-11,11,6.99,17,118.83,125.82
butter croissant,food,one size,North America,USA,New York,New York,2020,2020-12,12,6.99,26,181.74,121.35
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-01,1,6.99,25,174.75,132.53
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-02,2,6.99,6,41.94,110.72
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-03,3,6.99,18,125.82,113.01
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-04,4,6.99,29,202.71,133.09
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-05,5,6.99,17,118.83,133.37
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-06,6,6.99,11,76.89,111.56
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-07,7,6.99,12,83.88,123.58
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-08,8,6.99,21,146.79,115.75
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-09,9,6.99,13,90.87,112.68
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-10,10,6.99,30,209.7,105.41
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-11,11,6.99,16,111.84,125.82
butter croissant,food,one size,North America,USA,New York,New York,2021,2021-12,12,6.99,3,20.97,121.35
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-01,1,6.99,24,167.76,132.53
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-02,2,6.99,28,195.72,110.72
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-03,3,6.99,21,146.79,113.01
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-04,4,6.99,29,202.71,133.09
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-05,5,6.99,25,174.75,133.37
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-06,6,6.99,29,202.71,111.56
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-07,7,6.99,17,118.83,123.58
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-08,8,6.99,6,41.94,115.75
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-09,9,6.99,9,62.91,112.68
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-10,10,6.99,14,97.86,105.41
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-11,11,6.99,12,83.88,125.82
butter croissant,food,one size,North America,USA,New York,New York,2022,2022-12,12,6.99,13,90.87,121.35
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-01,1,6.99,12,83.88,132.53
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-02,2,6.99,9,62.91,110.72
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-03,3,6.99,13,90.87,113.01
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-04,4,6.99,32,223.68,133.09
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-05,5,6.99,27,188.73,133.37
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-06,6,6.99,8,55.92,111.56
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-07,7,6.99,17,118.83,123.58
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-08,8,6.99,15,104.85,115.75
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-09,9,6.99,16,111.84,112.68
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-10,10,6.99,9,62.91,105.41
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-11,11,6.99,10,69.9,125.82
butter croissant,food,one size,North America,USA,New York,New York,2023,2023-12,12,6.99,23,160.77,121.35
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-01,1,6.99,21,146.79,132.53
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-02,2,6.99,23,160.77,110.72
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-03,3,6.99,24,167.76,113.01
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-04,4,6.99,10,69.9,133.09
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-05,5,6.99,12,83.88,133.37
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-06,6,6.99,25,174.75,111.56
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-07,7,6.99,31,216.69,123.58
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-08,8,6.99,12,83.88,115.75
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-09,9,6.99,18,125.82,112.68
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-10,10,6.99,20,139.8,105.41
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-11,11,6.99,28,195.72,125.82
butter croissant,food,one size,North America,USA,New York,New York,2024,2024-12,12,6.99,29,202.71,121.35
butter croissant,food,one size,North America,USA,New York,New York,2025,2025-01,1,6.99,16,111.84,132.53
butter croissant,food,one size,North America,USA,New York,New York,2025,2025-02,2,6.99,29,202.71,110.72
butter croissant,food,one size,North America,USA,New York,New York,2025,2025-03,3,6.99,5,34.95,113.01
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-03,3,6.99,9,62.91,113.01
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-04,4,6.99,19,132.81,133.09
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-05,5,6.99,31,216.69,133.37
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-06,6,6.99,24,167.76,111.56
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-07,7,6.99,12,83.88,123.58
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-08,8,6.99,21,146.79,115.75
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-09,9,6.99,16,111.84,112.68
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-10,10,6.99,13,90.87,105.41
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-11,11,6.99,16,111.84,125.82
butter croissant,food,one size,North America,USA,Seattle,Seattle,2020,2020-12,12,6.99,17,118.83,121.35
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-01,1,6.99,13,90.87,132.53
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-02,2,6.99,14,97.86,110.72
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-03,3,6.99,16,111.84,113.01
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-04,4,6.99,4,27.96,133.09
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-05,5,6.99,19,132.81,133.37
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-06,6,6.99,12,83.88,111.56
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-07,7,6.99,31,216.69,123.58
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-08,8,6.99,7,48.93,115.75
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-09,9,6.99,14,97.86,112.68
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-10,10,6.99,16,111.84,105.41
butter croissant,food,one size,North America,USA,Seattle,Seattle,2021,2021-11,11,6.99,12,83.88,125.82
